Customer Name,frequency,Discount,Sales,Profit,Quantity,Avg_monetary_per_unit
Joel Peters,32,1.4500000000000004,10477,1213,137,76.47
Jose Gambino,30,2.1500000000000004,6824,1000,124,55.03
Isaac David,29,3.7,11271,1836,110,102.46
Angie Massengill,28,0.85,16146,4932,102,158.29
Lori Miller,27,2.5,7214,1686,100,72.14
Owen Howell,27,0.6,4316,999,106,40.72
Michael Watkins,26,2.9000000000000004,6977,923,97,71.93
Mark Washington,26,3.5500000000000003,7846,331,98,80.06
Lola Hughes,26,1.1,13191,2242,127,103.87
Rory Gunson,25,0.55,7325,727,81,90.43
Alexandra Macdonald,25,3.5,7385,1640,106,69.67
Ella Dwyer-Gray,25,3.55,6891,-745,105,65.63
Rita McCann,25,0.6,8108,1191,85,95.39
Minnie Cash,25,3.3000000000000003,3392,-249,88,38.55
Evie Flockhart,24,8.0,4526,-619,85,53.25
Chloe Miller,24,6.300000000000001,6958,-880,98,71.0
Kayla Tearle,24,1.8000000000000003,6637,421,90,73.74
Elijah Sodeman,23,1.4,9689,2752,101,95.93
Isabelle Torpy,23,3.6999999999999997,5883,573,84,70.04
Patricia Smith,23,2.4000000000000004,3960,422,80,49.5
Nicholas Carey,23,3.35,6965,1432,76,91.64
Bettie Lang,22,5.65,10466,-1698,108,96.91
Hayden Perkins,22,2.25,8567,1459,84,101.99
John Kemp,22,0.5,5037,418,71,70.94
Jessica Paramor,22,1.4000000000000001,5675,1042,82,69.21
Jasmine Slater,22,1.45,5329,-66,60,88.82
Aaron Bootman,22,2.0,4281,738,74,57.85
Tia Metcalfe,22,5.8,7223,-1261,96,75.24
Thomas Thompson,22,3.15,8196,2307,87,94.21
Maynard Moorman,22,4.9,6148,1141,90,68.31
Louis Dominguez,21,6.6,3801,-75,70,54.3
Adam Walpole,21,3.1999999999999997,2990,194,67,44.63
Chelsea Bannister,21,0.4,6854,1378,84,81.6
Terence Welch,21,2.0,5354,886,79,67.77
Summer Hayward,21,2.3000000000000003,6120,444,74,82.7
Eve Spencer,21,3.5000000000000004,4514,216,77,58.62
Georgina Garner,21,1.7999999999999998,6761,1454,72,93.9
Rachel Tyler,21,1.8,8835,1441,85,103.94
Philip Newsom,21,2.0500000000000003,10893,1204,80,136.16
Max Ronald,21,0.75,6569,1223,72,91.24
Archer Hort,21,6.5,5629,-2140,99,56.86
Maya Pamphlett,21,3.05,6279,335,78,80.5
Lilly Le Grand,21,1.5500000000000005,9962,1239,88,113.2
Laura Elizabeth,21,2.6,5638,969,77,73.22
Audrey Knowles,20,4.2,10363,-287,96,107.95
Lauren Saunders,20,1.15,7299,1276,79,92.39
Peter Daly,20,3.85,7804,86,90,86.71
Louie Knight,20,0.6,5538,1620,79,70.1
Bryce Efird,20,3.5000000000000004,6600,428,87,75.86
Angus Reading,20,2.7,6255,230,67,93.36
Ella Knopwood,20,5.2,3086,-123,95,32.48
Leah Barrett,19,1.4,2625,343,61,43.03
Oscar Noble,19,0.85,5605,871,71,78.94
Jasper Neighbour,19,0.4,3394,765,75,45.25
Rory Jess,19,0.4,4517,861,78,57.91
Harry Josephson,19,1.3,6160,1097,82,75.12
Robert Quick,19,0.65,6358,2170,71,89.55
Mia McLean,19,4.699999999999999,2397,-131,67,35.78
Jade Farmer,19,0.8,5296,555,81,65.38
Ruby Nicholls,19,2.0,3296,637,67,49.19
Zona Meyer,19,1.3000000000000003,3905,883,74,52.77
Adam Harte,19,1.25,4509,522,71,63.51
Aidan Rowe,19,2.7,5558,405,68,81.74
Angus De Groot,19,1.0999999999999999,5879,860,50,117.58
